timestamp,track_id,sensor_id,x_track,y_track,x_raw,y_raw
1.3,204,0,267.688,168.634,267.736,168.664
1.35,204,0,267.765,168.735,267.725,168.714
1.4,204,0,267.745,168.781,267.714,168.764
1.45,204,0,267.727,168.831,267.703,168.819
1.5,204,0,267.711,168.881,267.692,168.871
1.55,204,0,267.696,168.936,267.679,168.931
1.6,204,0,267.681,168.996,267.665,168.998
1.65,204,0,267.666,169.058,267.651,169.06
1.7,204,0,267.652,169.116,267.64,169.115
1.75,204,0,267.638,169.177,267.626,169.179
1.8,204,0,267.624,169.234,267.615,169.23
1.85,204,0,267.611,169.294,267.602,169.295
1.9,204,0,267.597,169.355,267.588,169.36
1.95,204,0,267.583,169.419,267.573,169.429
2,204,0,267.569,169.483,267.559,169.496
2.05,204,0,267.555,169.548,267.545,169.563
2.1,204,0,267.54,169.612,267.531,169.626
2.15,204,0,267.526,169.677,267.518,169.689
2.2,204,0,267.512,169.742,267.504,169.755
2.25,204,0,267.498,169.806,267.49,169.818
2.3,204,0,267.484,169.871,267.476,169.885
2.35,204,0,267.47,169.935,267.464,169.942
2.4,204,0,267.457,169.997,267.452,169.999
2.45,204,0,267.444,170.059,267.44,170.054
2.5,204,0,267.431,170.12,267.427,170.114
2.55,204,0,267.417,170.182,267.414,170.178
2.6,204,0,267.404,170.243,267.4,170.242
2.65,204,0,267.391,170.306,267.387,170.305
2.7,204,0,267.377,170.368,267.374,170.366
2.75,204,0,267.364,170.428,267.363,170.418
2.8,204,0,267.351,170.489,267.35,170.478
2.85,204,0,267.338,170.549,267.338,170.536
2.9,204,0,267.325,170.609,267.325,170.597
2.95,204,0,267.313,170.669,267.313,170.655
3,204,0,267.3,170.729,267.3,170.712
3.05,204,0,267.287,170.787,267.29,170.761
3.1,204,0,267.275,170.845,267.279,170.812
3.15,204,0,267.263,170.901,267.27,170.853
3.2,204,0,267.251,170.955,267.263,170.887
3.25,204,0,267.24,171.009,267.251,170.942
3.3,204,0,267.228,171.062,267.24,170.997
3.35,204,0,267.217,171.116,267.228,171.054
3.4,204,0,267.205,171.171,267.214,171.118
3.45,204,0,267.193,171.227,267.201,171.181
3.5,204,0,267.182,171.282,267.189,171.237
3.55,204,0,267.17,171.338,267.177,171.294
3.6,204,0,267.158,171.393,267.165,171.348
3.65,204,0,267.146,171.448,267.154,171.399
3.7,204,0,267.134,171.503,267.144,171.449
