timestamp,track_id,sensor_id,x,y
1.3,189,0,267.736,168.664
1.35,189,0,267.725,168.714
1.4,189,0,267.714,168.764
1.45,189,0,267.703,168.819
1.5,189,0,267.692,168.871
1.55,189,0,267.679,168.931
1.6,189,0,267.665,168.998
1.65,189,0,267.651,169.06
1.7,189,0,267.64,169.115
1.75,189,0,267.626,169.179
1.8,189,0,267.615,169.23
1.85,189,0,267.602,169.295
1.9,189,0,267.588,169.36
1.95,189,0,267.573,169.429
2,189,0,267.559,169.496
2.05,189,0,267.545,169.563
2.1,189,0,267.531,169.626
2.15,189,0,267.52,169.68
2.2,189,0,267.506,169.744
2.25,189,0,267.492,169.808
2.3,189,0,267.479,169.873
2.35,189,0,267.466,169.933
2.4,189,0,267.452,169.996
2.45,189,0,267.441,170.052
2.5,189,0,267.427,170.118
2.55,189,0,267.414,170.175
2.6,189,0,267.402,170.232
2.65,189,0,267.39,170.29
2.7,189,0,267.378,170.345
2.75,189,0,267.367,170.397
2.8,189,0,267.356,170.448
2.85,189,0,267.344,170.507
2.9,189,0,267.332,170.563
2.95,189,0,267.321,170.616
3,189,0,267.308,170.674
3.05,189,0,267.298,170.721
3.1,189,0,267.287,170.775
3.15,189,0,267.277,170.822
3.2,189,0,267.269,170.861
3.25,189,0,267.258,170.913
3.3,189,0,267.245,170.97
3.35,189,0,267.234,171.025
3.4,189,0,267.223,171.077
3.45,189,0,267.209,171.141
3.5,189,0,267.196,171.202
3.55,189,0,267.185,171.253
3.6,189,0,267.173,171.312
3.65,189,0,267.16,171.371
3.7,189,0,267.147,171.431
3.75,189,0,267.136,171.486
3.8,189,0,267.124,171.544
3.85,189,0,267.109,171.614
3.9,189,0,267.093,171.689
3.95,189,0,267.077,171.763
4,189,0,267.064,171.825
4.05,189,0,267.049,171.893
4.1,189,0,267.035,171.959
4.15,189,0,267.022,172.023
4.2,189,0,267.01,172.078
4.25,189,0,266.998,172.134
4.3,189,0,266.987,172.184
4.35,189,0,266.977,172.234
4.4,189,0,266.968,172.276
4.45,189,0,266.963,172.297
4.5,189,0,266.951,172.358
4.55,189,0,266.938,172.418
4.6,189,0,266.925,172.477
4.65,189,0,266.915,172.527
4.7,189,0,266.902,172.586
4.75,189,0,266.89,172.642
4.8,189,0,266.876,172.71
4.85,189,0,266.864,172.763
4.9,189,0,266.853,172.817
4.95,189,0,266.843,172.865
5,189,0,266.831,172.921
5.05,189,0,266.819,172.979
5.1,189,0,266.808,173.029
5.15,189,0,266.798,173.076
5.2,189,0,266.787,173.126
5.25,189,0,266.776,173.178
5.3,189,0,266.765,173.228
5.35,189,0,266.755,173.278
5.4,189,0,266.746,173.322
5.45,189,0,266.738,173.357
5.5,189,0,266.735,173.37
5.55,189,1,267.315,173.719
5.6,189,1,267.262,173.765
5.65,189,1,267.222,173.799
5.7,189,1,267.189,173.828
5.75,189,1,267.093,173.912
5.8,189,1,267.039,173.958
5.85,189,1,267,173.992
5.9,189,1,266.965,174.023
5.95,189,1,266.934,174.05
6,189,1,266.905,174.075
6.05,189,1,266.88,174.097
6.1,189,1,266.859,174.115
6.15,189,1,266.845,174.127
6.2,189,1,266.888,174.09
6.25,195,0,267.726,168.708
6.3,195,0,267.713,168.769
6.35,189,2,267.107,174.602
6.35,195,0,267.701,168.826
6.4,189,2,266.948,174.624
6.4,195,0,267.688,168.89
6.45,189,2,266.911,174.63
6.45,195,0,267.675,168.948
6.5,189,2,266.894,174.632
6.5,195,0,267.662,169.012
6.55,189,2,266.886,174.633
6.55,195,0,267.648,169.078
6.6,189,2,266.889,174.633
6.6,195,0,267.635,169.135
6.65,189,2,266.934,174.626
6.65,195,0,267.622,169.2
6.7,189,2,267.128,174.599
6.7,195,0,267.608,169.263
6.75,189,3,267.102,175.077
6.75,195,0,267.595,169.326
6.8,189,3,266.899,175.049
6.8,195,0,267.581,169.394
6.85,189,3,266.886,175.047
6.85,195,0,267.565,169.467
6.9,189,3,266.889,175.047
6.9,195,0,267.551,169.535
6.95,189,3,266.902,175.049
6.95,195,0,267.537,169.597
7,189,3,266.932,175.053
7,195,0,267.523,169.665
7.05,189,3,267.018,175.065
7.05,195,0,267.508,169.735
7.1,189,3,267.143,175.083
7.1,195,0,267.493,169.806
7.15,195,0,267.478,169.876
7.2,195,0,267.463,169.945
7.25,189,4,266.84,175.549
7.25,195,0,267.448,170.015
7.3,189,4,266.85,175.557
7.3,195,0,267.434,170.081
7.35,189,4,266.872,175.576
7.35,195,0,267.422,170.141
7.4,189,4,266.897,175.598
7.4,195,0,267.407,170.21
7.45,189,4,266.928,175.625
7.45,195,0,267.395,170.268
7.5,189,4,266.962,175.654
7.5,195,0,267.383,170.325
7.55,189,4,266.996,175.684
7.55,195,0,267.37,170.384
7.6,189,4,267.045,175.726
7.6,195,0,267.356,170.45
7.65,189,4,267.11,175.783
7.65,195,0,267.342,170.517
7.7,189,4,267.165,175.831
7.7,195,0,267.33,170.573
7.75,189,4,267.198,175.86
7.75,195,0,267.316,170.637
7.8,189,4,267.248,175.903
7.8,195,0,267.303,170.7
7.85,189,5,266.722,176.246
7.85,195,0,267.29,170.76
7.9,189,5,266.725,176.259
7.9,195,0,267.279,170.81
7.95,189,5,266.732,176.294
7.95,195,0,267.27,170.855
8,189,5,266.742,176.343
8,195,0,267.263,170.889
8.05,189,5,266.754,176.397
8.05,195,0,267.249,170.954
8.1,189,5,266.765,176.448
8.1,195,0,267.235,171.019
8.15,189,5,266.776,176.501
8.15,195,0,267.221,171.085
8.2,189,5,266.787,176.552
8.2,195,0,267.209,171.141
8.25,189,5,266.798,176.604
8.25,195,0,267.195,171.207
8.3,189,5,266.807,176.65
8.3,195,0,267.181,171.272
8.35,189,5,266.82,176.706
8.35,195,0,267.168,171.335
