sensor_id,x0,y0,x1,y1,x2,y2
0,266.6,173.969,269.097,169.069,266.312,168.477
1,266.6,174.317,271.543,171.906,269.676,169.758
2,266.6,174.666,272.059,175.336,271.663,172.517
3,266.6,175.014,271.663,177.163,272.059,174.344
4,266.6,175.363,269.676,179.922,271.543,177.774
5,266.6,175.711,266.312,181.203,269.097,180.611
6,261.51,175.711,259.013,180.611,261.798,181.203
7,261.51,175.363,256.173,176.693,257.554,179.183
8,261.51,175.014,256.078,174.154,256.375,176.985
9,261.51,174.666,256.375,172.695,256.078,175.526
10,261.51,174.317,257.554,170.497,256.173,172.987
11,261.51,173.969,261.798,168.477,259.013,169.069
