id,timestamp,x,y
person0,0.05,266.84,244.23
person1,0.05,272.571,211.48
person0,0.1,266.84,244.176
person1,0.1,272.511,211.48
person0,0.15,266.84,244.112
person1,0.15,272.447,211.48
person0,0.2,266.84,244.055
person1,0.2,272.378,211.48
person0,0.25,266.84,243.999
person1,0.25,272.311,211.48
person0,0.3,266.84,243.941
person1,0.3,272.251,211.481
person0,0.35,266.84,243.876
person1,0.35,272.191,211.481
person0,0.4,266.84,243.817
person1,0.4,272.127,211.481
person0,0.45,266.84,243.759
person1,0.45,272.06,211.481
person0,0.5,266.84,243.695
person1,0.5,272.003,211.481
person0,0.55,266.84,243.634
person1,0.55,271.942,211.481
person0,0.6,266.84,243.57
person1,0.6,271.879,211.481
person0,0.65,266.84,243.508
person1,0.65,271.843,211.481
person0,0.7,266.84,243.456
person1,0.7,271.785,211.484
person0,0.75,266.84,243.402
person1,0.75,271.72,211.488
person0,0.8,266.84,243.344
person1,0.8,271.654,211.492
person0,0.85,266.84,243.279
person1,0.85,271.588,211.497
person0,0.9,266.84,243.224
person1,0.9,271.52,211.501
person0,0.95,266.84,243.171
person1,0.95,271.451,211.505
person0,1,266.84,243.115
person1,1,271.385,211.509
person0,1.05,266.84,243.052
person1,1.05,271.317,211.513
person0,1.1,266.84,242.992
person1,1.1,271.26,211.517
person0,1.15,266.84,242.93
person1,1.15,271.193,211.521
person0,1.2,266.84,242.867
person1,1.2,271.131,211.525
person0,1.25,266.84,242.805
person1,1.25,271.073,211.528
person0,1.3,266.84,242.742
person1,1.3,271.012,211.532
person0,1.35,266.84,242.686
person1,1.35,270.95,211.536
person0,1.4,266.84,242.63
person1,1.4,270.893,211.539
person0,1.45,266.84,242.577
person1,1.45,270.828,211.544
person0,1.5,266.84,242.518
person1,1.5,270.766,211.547
person0,1.55,266.84,242.455
person1,1.55,270.709,211.551
person0,1.6,266.84,242.393
person1,1.6,270.648,211.555
person0,1.65,266.84,242.33
person1,1.65,270.578,211.559
person0,1.7,266.84,242.268
person1,1.7,270.516,211.563
person0,1.75,266.84,242.215
person1,1.75,270.447,211.567
person0,1.8,266.84,242.152
person1,1.8,270.391,211.571
person0,1.85,266.84,242.091
person1,1.85,270.326,211.575
person0,1.9,266.84,242.027
person1,1.9,270.264,211.578
person0,1.95,266.84,241.965
person1,1.95,270.196,211.583
person0,2,266.84,241.9
person1,2,270.127,211.587
person0,2.05,266.84,241.845
person1,2.05,270.062,211.591
person0,2.1,266.84,241.783
person1,2.1,269.995,211.595
person0,2.15,266.84,241.727
person1,2.15,269.931,211.599
person0,2.2,266.84,241.67
person1,2.2,269.866,211.603
person0,2.25,266.84,241.611
person1,2.25,269.808,211.607
person0,2.3,266.84,241.554
person1,2.3,269.744,211.611
person0,2.35,266.84,241.494
person1,2.35,269.687,211.614
person0,2.4,266.84,241.429
person1,2.4,269.621,211.618
person0,2.45,266.84,241.365
person1,2.45,269.564,211.622
person0,2.5,266.84,241.308
person1,2.5,269.507,211.625
person0,2.55,266.84,241.249
person1,2.55,269.443,211.629
person0,2.6,266.84,241.193
person1,2.6,269.379,211.633
person0,2.65,266.84,241.14
person1,2.65,269.317,211.637
person0,2.7,266.84,241.087
person1,2.7,269.251,211.641
person0,2.75,266.84,241.028
person1,2.75,269.186,211.645
person0,2.8,266.84,240.972
person1,2.8,269.117,211.649
person0,2.85,266.84,240.912
person1,2.85,269.056,211.653
person0,2.9,266.84,240.858
person1,2.9,268.99,211.657
person0,2.95,266.84,240.802
person1,2.95,268.922,211.661
person0,3,266.84,240.746
person1,3,268.854,211.666
person0,3.05,266.84,240.692
person1,3.05,268.789,211.67
person0,3.1,266.84,240.633
person1,3.1,268.72,211.674
person0,3.15,266.84,240.573
person1,3.15,268.659,211.678
person0,3.2,266.84,240.521
person1,3.2,268.601,211.681
person0,3.25,266.84,240.458
person1,3.25,268.544,211.685
person0,3.3,266.84,240.397
person1,3.3,268.483,211.688
person0,3.35,266.84,240.338
person1,3.35,268.421,211.692
person0,3.4,266.84,240.276
person1,3.4,268.356,211.696
person0,3.45,266.84,240.22
person1,3.45,268.295,211.7
person0,3.5,266.84,240.162
person1,3.5,268.226,211.704
person0,3.55,266.84,240.108
person1,3.55,268.165,211.708
person0,3.6,266.84,240.054
person1,3.6,268.108,211.712
person0,3.65,266.84,239.996
person1,3.65,268.038,211.716
person0,3.7,266.84,239.944
person1,3.7,267.981,211.719
